locusId	sysName	desc	comb
EKN05_000480	EKN05_000480	hydrogenase-2 assembly chaperone	EKN05_000480 hydrogenase-2 assembly chaperone
EKN05_000495	EKN05_000495	glutathione-dependent disulfide-bond oxidoreductase	EKN05_000495 glutathione-dependent disulfide-bond oxidoreductase
EKN05_005075	EKN05_005075	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	EKN05_005075 bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
EKN05_005080	EKN05_005080	glycoside hydrolase family 25 protein	EKN05_005080 glycoside hydrolase family 25 protein
EKN05_005085	EKN05_005085	GntR family transcriptional regulator	EKN05_005085 GntR family transcriptional regulator
EKN05_005090	EKN05_005090	sugar kinase	EKN05_005090 sugar kinase
EKN05_005100	EKN05_005100	MFS transporter	EKN05_005100 MFS transporter
EKN05_005105	EKN05_005105	class I fructose-bisphosphate aldolase	EKN05_005105 class I fructose-bisphosphate aldolase
EKN05_005115	EKN05_005115	tagatose-bisphosphate aldolase subunit GatZ	EKN05_005115 tagatose-bisphosphate aldolase subunit GatZ
EKN05_005120	EKN05_005120	PTS galactitol transporter subunit IIA	EKN05_005120 PTS galactitol transporter subunit IIA
EKN05_005125	EKN05_005125	PTS galactitol transporter subunit IIB	EKN05_005125 PTS galactitol transporter subunit IIB
EKN05_005130	EKN05_005130	PTS galactitol transporter subunit IIC	EKN05_005130 PTS galactitol transporter subunit IIC
EKN05_005135	EKN05_005135	galactitol-1-phosphate 5-dehydrogenase	EKN05_005135 galactitol-1-phosphate 5-dehydrogenase
EKN05_005140	EKN05_005140	DeoR/GlpR transcriptional regulator	EKN05_005140 DeoR/GlpR transcriptional regulator
EKN05_005145	EKN05_005145	lipid kinase YegS	EKN05_005145 lipid kinase YegS
EKN05_005155	EKN05_005155	hypothetical protein	EKN05_005155 hypothetical protein
EKN05_005160	EKN05_005160	U32 family peptidase	EKN05_005160 U32 family peptidase
EKN05_005165	EKN05_005165	DUF1508 domain-containing protein	EKN05_005165 DUF1508 domain-containing protein
EKN05_005170	EKN05_005170	two-component system response regulator BaeR	EKN05_005170 two-component system response regulator BaeR
EKN05_005175	EKN05_005175	two-component system sensor histidine kinase BaeS	EKN05_005175 two-component system sensor histidine kinase BaeS
EKN05_005180	EKN05_005180	MFS transporter	EKN05_005180 MFS transporter
EKN05_005185	EKN05_005185	multidrug efflux RND transporter permease subunit MdtC	EKN05_005185 multidrug efflux RND transporter permease subunit MdtC
EKN05_005190	EKN05_005190	multidrug efflux RND transporter permease subunit MdtB	EKN05_005190 multidrug efflux RND transporter permease subunit MdtB
EKN05_005215	EKN05_005215	molecular chaperone	EKN05_005215 molecular chaperone
EKN05_005225	EKN05_005225	helix-hairpin-helix domain-containing protein	EKN05_005225 helix-hairpin-helix domain-containing protein
EKN05_005265	EKN05_005265	TerC family protein	EKN05_005265 TerC family protein
EKN05_005270	EKN05_005270	polysaccharide export protein	EKN05_005270 polysaccharide export protein
EKN05_005280	EKN05_005280	tyrosine-protein kinase Wzc	EKN05_005280 tyrosine-protein kinase Wzc
EKN05_005285	EKN05_005285	colanic acid biosynthesis glycosyltransferase WcaA	EKN05_005285 colanic acid biosynthesis glycosyltransferase WcaA
EKN05_005290	EKN05_005290	colanic acid biosynthesis acetyltransferase WcaB	EKN05_005290 colanic acid biosynthesis acetyltransferase WcaB
EKN05_005295	EKN05_005295	colanic acid biosynthesis glycosyltransferase WcaC	EKN05_005295 colanic acid biosynthesis glycosyltransferase WcaC
EKN05_005300	EKN05_005300	putative colanic acid polymerase WcaD	EKN05_005300 putative colanic acid polymerase WcaD
