locusId	sysName	desc	comb	set1IT002	set1IT003	set1IT004
EKN05_000480	EKN05_000480	hydrogenase-2 assembly chaperone	EKN05_000480 hydrogenase-2 assembly chaperone	519	422	68
EKN05_000495	EKN05_000495	glutathione-dependent disulfide-bond oxidoreductase	EKN05_000495 glutathione-dependent disulfide-bond oxidoreductase	946	1051	459
EKN05_005075	EKN05_005075	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	EKN05_005075 bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	258	119	76
EKN05_005080	EKN05_005080	glycoside hydrolase family 25 protein	EKN05_005080 glycoside hydrolase family 25 protein	592	524	822
EKN05_005085	EKN05_005085	GntR family transcriptional regulator	EKN05_005085 GntR family transcriptional regulator	447	431	231
EKN05_005090	EKN05_005090	sugar kinase	EKN05_005090 sugar kinase	533	412	297
EKN05_005100	EKN05_005100	MFS transporter	EKN05_005100 MFS transporter	53	50	26
EKN05_005105	EKN05_005105	class I fructose-bisphosphate aldolase	EKN05_005105 class I fructose-bisphosphate aldolase	242	119	8
EKN05_005115	EKN05_005115	tagatose-bisphosphate aldolase subunit GatZ	EKN05_005115 tagatose-bisphosphate aldolase subunit GatZ	488	524	435
EKN05_005120	EKN05_005120	PTS galactitol transporter subunit IIA	EKN05_005120 PTS galactitol transporter subunit IIA	38	3	30
EKN05_005125	EKN05_005125	PTS galactitol transporter subunit IIB	EKN05_005125 PTS galactitol transporter subunit IIB	320	221	105
EKN05_005130	EKN05_005130	PTS galactitol transporter subunit IIC	EKN05_005130 PTS galactitol transporter subunit IIC	59	160	82
EKN05_005135	EKN05_005135	galactitol-1-phosphate 5-dehydrogenase	EKN05_005135 galactitol-1-phosphate 5-dehydrogenase	2870	2065	1084
EKN05_005140	EKN05_005140	DeoR/GlpR transcriptional regulator	EKN05_005140 DeoR/GlpR transcriptional regulator	501	327	393
EKN05_005145	EKN05_005145	lipid kinase YegS	EKN05_005145 lipid kinase YegS	1061	2151	2943
EKN05_005155	EKN05_005155	hypothetical protein	EKN05_005155 hypothetical protein	553	692	345
EKN05_005160	EKN05_005160	U32 family peptidase	EKN05_005160 U32 family peptidase	1572	1462	749
EKN05_005165	EKN05_005165	DUF1508 domain-containing protein	EKN05_005165 DUF1508 domain-containing protein	95	83	15
