locusId	sysName	desc	set1IT002	set1IT003	set1IT004
EKN05_000480	EKN05_000480	hydrogenase-2 assembly chaperone	0.2881035744641727	0.39600519556159186	-0.037160204957363774
EKN05_000495	EKN05_000495	glutathione-dependent disulfide-bond oxidoreductase	-0.36422007899501346	0.1066312706845998	-0.4630145751069352
EKN05_005075	EKN05_005075	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	0.048451361891358756	-0.31984188719778495	-0.27080599771240027
EKN05_005080	EKN05_005080	glycoside hydrolase family 25 protein	-0.29133142385862	-0.26962509768645365	0.3947013938784623
EKN05_005085	EKN05_005085	GntR family transcriptional regulator	-0.33169904224134067	-0.5146768603751547	-0.5274381021256348
EKN05_005090	EKN05_005090	sugar kinase	-0.230182181438633	-0.36905469288177883	-0.06340354367881929
EKN05_005100	EKN05_005100	MFS transporter	-0.2956096320791377	-0.1744017985066142	-0.22869914431644742
EKN05_005105	EKN05_005105	class I fructose-bisphosphate aldolase	-0.5067003726764903	-0.6259579451000737	-0.9189684137121639
EKN05_005115	EKN05_005115	tagatose-bisphosphate aldolase subunit GatZ	-0.15083942001304096	0.11143147931009319	0.6238981511898191
EKN05_005120	EKN05_005120	PTS galactitol transporter subunit IIA	-0.2902805840986028	-0.719463605983251	-0.17198305079605564
EKN05_005125	EKN05_005125	PTS galactitol transporter subunit IIB	-0.008283135600276303	-0.11224169937952373	-0.16288611697348382
EKN05_005130	EKN05_005130	PTS galactitol transporter subunit IIC	-0.632661869065765	0.23526742375286813	-0.04691623471509808
EKN05_005135	EKN05_005135	galactitol-1-phosphate 5-dehydrogenase	0.2630352676967532	-0.6079959916064941	-0.279067898437021
EKN05_005140	EKN05_005140	DeoR/GlpR transcriptional regulator	-0.0640274022483688	-0.23257646597850026	0.07619433020043927
EKN05_005145	EKN05_005145	lipid kinase YegS	-0.6926374730710936	-0.2565253296203254	0.27403979720227034
EKN05_005155	EKN05_005155	hypothetical protein	0.08196798114277523	0.3572114907121438	0.11254990497537179
EKN05_005160	EKN05_005160	U32 family peptidase	-0.20335492459620974	0.09398664126356511	0.12960766175452829
EKN05_005165	EKN05_005165	DUF1508 domain-containing protein	0.042833870320177825	0.07404663581986355	-0.20535730637357338
EKN05_005170	EKN05_005170	two-component system response regulator BaeR	-0.27097022337155224	-1.1668236702356691	-0.07994263554791692
EKN05_005175	EKN05_005175	two-component system sensor histidine kinase BaeS	0.14503564006271505	0.10470626010988027	-0.10867166647245899
EKN05_005180	EKN05_005180	MFS transporter	-0.06691006853170763	-0.5929452788763382	0.07454002578291938
EKN05_005185	EKN05_005185	multidrug efflux RND transporter permease subunit MdtC	0.4371184063038887	-0.2447530134466476	-0.15469240641790102
EKN05_005190	EKN05_005190	multidrug efflux RND transporter permease subunit MdtB	0.04307227801944639	-0.49089049940840684	0.6394662518915871
EKN05_005215	EKN05_005215	molecular chaperone	0.7763919564636105	0.1630418588020605	-0.11857321649668587
EKN05_005225	EKN05_005225	helix-hairpin-helix domain-containing protein	-0.7143986972758918	-1.0175030986420222	-0.6110142066945198
EKN05_005265	EKN05_005265	TerC family protein	0.5939273314901906	0.7741861878039358	0.03211928384496262
EKN05_005270	EKN05_005270	polysaccharide export protein	-0.28076086400797484	-0.39763488883794634	-0.41875699670133293
EKN05_005280	EKN05_005280	tyrosine-protein kinase Wzc	0.12758917294805067	0.10104644610166248	-0.7068197702795412
EKN05_005285	EKN05_005285	colanic acid biosynthesis glycosyltransferase WcaA	0.2534014448646022	-0.0004819864923296069	0.20966531479169453
EKN05_005290	EKN05_005290	colanic acid biosynthesis acetyltransferase WcaB	-0.11198573057119716	0.1100738250355237	0.32638633878224255
EKN05_005295	EKN05_005295	colanic acid biosynthesis glycosyltransferase WcaC	-0.1074364298179164	-0.5034960539976188	-0.8995678690600116
EKN05_005300	EKN05_005300	putative colanic acid polymerase WcaD	-0.03528115953915275	0.11254586792946396	0.08479835200427346
EKN05_005305	EKN05_005305	colanic acid biosynthesis glycosyltransferase WcaE	0.26412763954233653	0.2118934925561966	0.24201841982921213
EKN05_005315	EKN05_005315	colanic acid biosynthesis glycosyl transferase	0.452763557028176	0.2894081741437695	-0.26950088659720833
EKN05_005320	EKN05_005320	colanic acid biosynthesis acetyltransferase WcaF	-0.3346241686826321	-0.42993974137038693	-0.5424904037140778
EKN05_005325	EKN05_005325	GDP-mannose 4,6-dehydratase	0.0023355127141327335	0.390897789021967	-0.2290261278216642
EKN05_005330	EKN05_005330	GDP-L-fucose synthase	-0.5367126921118703	0.44031998979282266	0.3804188075973398
EKN05_005340	EKN05_005340	colanic acid biosynthesis glycosyltransferase WcaI	-0.31707018754776284	-0.23090866769878257	-0.019181568136976794
EKN05_005345	EKN05_005345	mannose-1-phosphate guanyltransferase	-0.22138721239752662	-0.08773927115772623	-0.07290228973130443
EKN05_005350	EKN05_005350	phosphomannomutase CpsG	-0.09075945333222796	-0.03010750430282012	0.043790210983233206
EKN05_005355	EKN05_005355	undecaprenyl-phosphate glucose phosphotransferase	-0.5092941040109905	-0.020966041548173026	0.07426580575761091
EKN05_005360	EKN05_005360	M-antigen undecaprenyl disphosphate flippase	0.40831738632249026	0.6898054471811559	0.7500897959449443
EKN05_005365	EKN05_005365	colanic acid biosynthesis pyruvyl transferase WcaK	-0.031790750235644726	-0.7721959781447513	0.5084039903729078
EKN05_005370	EKN05_005370	colanic acid biosynthesis glycosyltransferase WcaL	0.2566429729108381	0.11916946675323972	0.5648162131797824
EKN05_005375	EKN05_005375	colanic acid biosynthesis protein WcaM	-0.05242280197284611	-0.0017363690003547204	-0.14405521992518855
EKN05_005380	EKN05_005380	UTP--glucose-1-phosphate uridylyltransferase GalF	0.11055893286390757	-0.11616718449571277	-0.1795943385263772
EKN05_005385	EKN05_005385	dTDP-glucose 4,6-dehydratase	0.42225640236498196	-0.0933442809778731	-0.4785050272460257
EKN05_005445	EKN05_005445	hypothetical protein	0.3543608997914537	0.37684598701317423	0.09545738365475442
EKN05_005450	EKN05_005450	NADP-dependent phosphogluconate dehydrogenase	-0.5071087708491439	-0.31836621983820396	0.3982986279196708
EKN05_005455	EKN05_005455	UDP-glucose 6-dehydrogenase	-0.01570940677711203	0.33175165371783116	0.20287148398037
EKN05_005460	EKN05_005460	LPS O-antigen chain length determinant protein WzzB	0.22915874524762478	0.1096432552382107	-0.012040993203688248
EKN05_005475	EKN05_005475	1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase	-0.5699676270588583	0.3984665900640638	-0.82692262934082
EKN05_005480	EKN05_005480	imidazole glycerol phosphate synthase subunit HisH	-0.5194778289878749	-0.3655606893641895	-0.5246780945765054
EKN05_005485	EKN05_005485	bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB	-0.2985054741976875	-0.35646609919750094	-0.7406176585052732
EKN05_005490	EKN05_005490	histidinol-phosphate transaminase	-0.6639071239622119	-0.3626300196877127	-0.4261047972571832
EKN05_005500	EKN05_005500	ATP phosphoribosyltransferase	-0.33312495499038597	-0.17420946792099884	0.29490547015297425
EKN05_005530	EKN05_005530	SDR family oxidoreductase	0.23986225662245972	0.04648562347814516	-0.370036866128948
EKN05_005535	EKN05_005535	LysR family transcriptional regulator	-0.6920827003591011	-0.5491103011870427	-0.1882660981842546
EKN05_005545	EKN05_005545	putrescine/proton symporter PlaP	-0.800721830964888	-0.0035886471035708987	0.23391762072245295
EKN05_005550	EKN05_005550	YeeE/YedE family protein	-1.4264049787556206	-0.38120485705749624	0.40085173648408007
EKN05_005555	EKN05_005555	hypothetical protein	0.0701437174901925	-0.37373855651462623	-0.36370705269093595
EKN05_005560	EKN05_005560	exodeoxyribonuclease I	-0.5989766069646328	0.2491453400315216	-0.2025319310270629
EKN05_005565	EKN05_005565	DUF4102 domain-containing protein	0.10450941753991312	-0.7838811543727707	0.485404535583722
EKN05_005580	EKN05_005580	hypothetical protein	-0.2432287459593814	-0.4596696451109705	-0.36895732563401495
EKN05_005595	EKN05_005595	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase	-0.6010499413968274	-0.4477101029281468	-0.4461442109623214
EKN05_005600	EKN05_005600	adenosylcobinamide-GDP ribazoletransferase	-0.20243669421204927	0.02452369626988391	0.3324593902730378
EKN05_005605	EKN05_005605	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	-0.676225559994553	0.34728127706947653	0.16070894147384138
EKN05_005610	EKN05_005610	L,D-transpeptidase	-0.8153533010735684	0.8409277634347214	0.5867315505351959
EKN05_005620	EKN05_005620	nitrogen assimilation transcriptional regulator	-0.5503272606450673	-1.2226706644229963	-0.6020056438315383
EKN05_005625	EKN05_005625	HTH-type transcriptional regulator Cbl	-0.19278836064975768	-0.4246814809000489	-0.5222633103363661
EKN05_005635	EKN05_005635	toxic metabolite efflux MATE transporter YeeO	0.06886808903659561	0.5551257193394623	0.22878822387966197
EKN05_005640	EKN05_005640	tRNA-Asn	-0.2405019619360532	-0.38442954235063026	-0.3005611497347595
EKN05_005650	EKN05_005650	AMP nucleosidase	0.27120216252563106	0.6187579998803696	0.2364352271447775
EKN05_005655	EKN05_005655	hypothetical protein	0.08408008903941684	0.011393257649127055	0.26673514259581516
EKN05_005665	EKN05_005665	serine transporter	-0.22413192378789284	-0.4872564236781513	-0.08232014778350709
EKN05_005675	EKN05_005675	DUF4102 domain-containing protein	-0.23470413542557017	0.597640438003369	-0.3263058641783719
EKN05_005695	EKN05_005695	integrase	-0.37172730368631357	0.8014544374378222	-0.1637917962531059
EKN05_005700	EKN05_005700	DUF4224 domain-containing protein	-0.4819826596434713	-0.35225953945096683	0.2789594684225455
EKN05_005710	EKN05_005710	3'-5' exoribonuclease	0.30412820055072165	-0.2021726582558078	0.7035312129651707
EKN05_005720	EKN05_005720	hypothetical protein	-0.10069405233772315	0.050891577799258424	-0.42339728096016543
EKN05_005725	EKN05_005725	hypothetical protein	-0.2703442862444436	1.2049528559721507	-0.30227855638136764
EKN05_005730	EKN05_005730	hypothetical protein	0.0274362447456137	0.09368197695634281	0.17668622703642567
EKN05_005755	EKN05_005755	RusA family crossover junction endodeoxyribonuclease	-0.5119559810456374	0.09425961922838573	-0.025963449579141828
EKN05_005760	EKN05_005760	antiterminator	0.30509106591288526	0.5936746820145937	0.36944657039900536
EKN05_005840	EKN05_005840	metal-binding protein ZinT	-0.43674127430970056	-0.10681785185083158	0.47107255546746307
EKN05_005845	EKN05_005845	protein-methionine-sulfoxide reductase heme-binding subunit MsrQ	-0.4295835269396338	-0.09770820599539079	-0.6192579979022828
EKN05_005850	EKN05_005850	protein-methionine-sulfoxide reductase catalytic subunit MsrP	0.01869428448066875	-0.006604340088718085	-0.3223204875104124
EKN05_005860	EKN05_005860	DNA-binding response regulator HprR	-0.6191236891177782	-1.2152346834082448	-0.4750820138940914
EKN05_005870	EKN05_005870	protein deglycase HchA	0.5115135900296405	-0.5355162685981858	0.20062764387830095
EKN05_005880	EKN05_005880	hypothetical protein	0.3939784834706202	-0.10853112896525287	-0.08866560606309765
EKN05_005890	EKN05_005890	hypothetical protein	-0.20093232874922767	-0.2693587240197514	0.3686937792246402
EKN05_005900	EKN05_005900	hypothetical protein	-0.04988961598298931	0.7905221917916243	0.37724734639432683
EKN05_005905	EKN05_005905	phosphohydrolase	0.048838319481502426	0.17085590523076888	-0.3856121350196757
EKN05_005910	EKN05_005910	DNA cytosine methyltransferase	-0.0804059260572419	-0.3965983485908927	0.44607395401638145
EKN05_005915	EKN05_005915	very short patch repair endonuclease	0.07469425509907124	-0.11595148658542416	-0.09421079121040664
EKN05_005920	EKN05_005920	drug/metabolite exporter YedA	-0.3398824684919066	1.1375154651702801	0.04338125802372194
EKN05_005925	EKN05_005925	DUF808 domain-containing protein	-0.22394514951431505	-0.43139917465280103	-0.11105413028965046
EKN05_005935	EKN05_005935	cellulose biosynthesis regulator YedQ	0.5801763052794399	0.1620371158065544	0.7524217842140468
EKN05_005940	EKN05_005940	mannosyl-3-phosphoglycerate phosphatase-related protein	0.17026478903476808	0.07719487839429658	-1.057723676108587
EKN05_005950	EKN05_005950	hypothetical protein	0.3782613113103954	-0.14443275675787703	0.31763808314300923
EKN05_005960	EKN05_005960	transcriptional regulator RcsA	-0.0007770481256139871	0.3998800722664585	-0.09268396202265859
EKN05_005990	EKN05_005990	flagellar motor switch protein FliM	-0.950038805867329	-0.13228881486993682	-0.15059332254321722
EKN05_006120	EKN05_006120	FliC/FljB family flagellin	-0.9173933691988917	-0.7571952718475019	0.17056242884488262
EKN05_006125	EKN05_006125	RNA polymerase sigma factor FliA	0.3358941754815431	0.5733853248454818	0.11828803814517716
EKN05_006130	EKN05_006130	flagella biosynthesis regulatory protein FliZ	0.32696854473642056	-0.024221780889483506	0.4773509747000214
EKN05_006135	EKN05_006135	cystine ABC transporter substrate-binding protein	-0.06805292751467724	0.46948342364584045	0.09544996341967665
EKN05_006140	EKN05_006140	D-cysteine desulfhydrase	-0.24688861819908223	-0.18426150854168077	-0.22852724844715447
EKN05_006145	EKN05_006145	amino acid ABC transporter permease	-0.2913885731760172	0.428144501867113	0.3915066941212396
EKN05_006150	EKN05_006150	L-cystine ABC transporter ATP-binding protein YecC	0.2878762152930436	0.114489719947252	-0.14983967105292
EKN05_006155	EKN05_006155	transcriptional regulator SdiA	0.5615555940783447	-0.06152687292512885	-0.6385773442481882
EKN05_006165	EKN05_006165	hypothetical protein	-0.6941976137484542	-0.2967003082269394	0.3107157926867134
EKN05_006170	EKN05_006170	two-component system response regulator UvrY	0.18264324187869563	-0.275613877811129	-0.45760954811688487
EKN05_006175	EKN05_006175	excinuclease ABC subunit UvrC	-0.40883704973412716	0.07296696080705538	0.40249871763183587
EKN05_006200	EKN05_006200	UPF0149 family protein YecA	-0.2404524427384595	-0.0424221519085897	-0.20631521271430636
EKN05_006205	EKN05_006205	tyrosine transporter TyrP	-0.45586949383430236	-0.3407368366076053	0.061573661391008866
EKN05_006230	EKN05_006230	DUF2766 domain-containing protein	-0.03159522891267974	-0.2788219877813418	-0.4310689967602421
EKN05_006240	EKN05_006240	arabinose ABC transporter substrate-binding protein	-0.08508457162538097	0.4761836790352937	-0.6072241065737201
EKN05_006245	EKN05_006245	L-arabinose ABC transporter ATP-binding protein AraG	-0.7209713163677285	-0.46150846995372247	0.31241428389501247
EKN05_006250	EKN05_006250	arabinose ABC transporter permease	-0.3497388896688747	-0.2099924166105352	-0.34143551185515186
EKN05_006255	EKN05_006255	trehalose-phosphatase	0.32470538534072063	0.08458787203985137	0.125876325795115
EKN05_006260	EKN05_006260	alpha,alpha-trehalose-phosphate synthase	-0.4986691100070358	-0.05870968422854221	0.8442047627683272
EKN05_006280	EKN05_006280	flagellar motor stator protein MotA	-0.7276889676538114	0.0018095920540938172	-0.16818445669673313
EKN05_006285	EKN05_006285	motility protein MotB	-0.01315425981229884	-0.26290837134873113	-0.21248867214036457
EKN05_006290	EKN05_006290	chemotaxis protein CheA	0.006093690907019962	-0.15652138103569077	0.6724279630077601
EKN05_006300	EKN05_006300	methyl-accepting chemotaxis protein II	0.09407130835893311	-0.21208511046429593	-0.054342865873025135
EKN05_006305	EKN05_006305	methyl-accepting chemotaxis protein IV	0.04981190443143303	-0.06068287596721719	0.7091754458934203
EKN05_006315	EKN05_006315	chemotaxis response regulator protein-glutamate methylesterase	0.39184615285432634	0.7012084576269447	0.4705649781232257
EKN05_006320	EKN05_006320	two-component system response regulator	-0.3399293233407511	-0.10881513728896475	0.16402599268820772
EKN05_006325	EKN05_006325	protein phosphatase CheZ	-0.5116985033789678	0.8895147198350264	-0.3423920045841529
EKN05_006330	EKN05_006330	hypothetical protein	0.05761138267433685	-0.14529261891136863	0.1832921776833643
EKN05_006360	EKN05_006360	flagellar type III secretion system protein FlhB	-0.3440811474125802	0.30047242355457165	-0.4297765596523466
EKN05_006365	EKN05_006365	flagellar biosynthesis protein FlhA	0.5653775101716177	0.13184618836371287	0.24995197579075584
EKN05_006370	EKN05_006370	flagellar protein FlhE	0.1829813721496213	0.3367941317220324	0.3015560246783101
EKN05_006405	EKN05_006405	cytochrome C	0.4129012057034201	0.6848356455592232	0.4343877820010111
EKN05_006410	EKN05_006410	twin-arginine translocation signal domain-containing protein	0.20689263858390236	0.6356732897701136	0.5221820561749875
EKN05_006420	EKN05_006420	trimethylamine-N-oxide reductase TorA	-0.8797746557127302	-0.08329113125103053	0.8518019981599436
EKN05_006425	EKN05_006425	tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB	0.19674930290356238	-0.1869707874333783	0.16901873249159668
EKN05_006430	EKN05_006430	carboxy-S-adenosyl-L-methionine synthase CmoA	-0.579712571841713	-0.658773383768202	-0.24843168374960098
EKN05_006440	EKN05_006440	DUF72 domain-containing protein	0.05042764640306356	-0.22169705944397475	-0.9215695011376515
EKN05_006445	EKN05_006445	hypothetical protein	-0.6055597277199187	0.1208985127395021	0.06721678593590034
EKN05_006480	EKN05_006480	transposase	0.1197079059077514	-0.08910329443979531	0.37909411565726664
EKN05_006490	EKN05_006490	phage tail tape measure protein	0.15863987946268904	-0.006210753522271224	-0.727352206840833
EKN05_006495	EKN05_006495	hypothetical protein	-0.15435494426939622	0.022634915563937662	-0.23419535156212815
EKN05_006555	EKN05_006555	phage tail protein	-0.299514120044666	-0.28293434146700003	0.9089957556938787
EKN05_006560	EKN05_006560	phage tail protein	0.2652476327219791	0.180221758006391	-0.13590319404366782
EKN05_006630	EKN05_006630	E3 ubiquitin--protein ligase	0.3312892011434071	-0.21502409145578233	-0.45272758924026346
EKN05_006645	EKN05_006645	hydrolase	-0.5528774055484258	-0.042597216905693534	-0.13878640571379317
