locusId	sysName	desc	set1IT002	set1IT003	set1IT004
EKN05_000480	EKN05_000480	hydrogenase-2 assembly chaperone	1.835488621688119	1.7650695521788273	-0.7785506614782278
EKN05_000495	EKN05_000495	glutathione-dependent disulfide-bond oxidoreductase	-0.6137231682716195	0.11153806777598041	-0.1838813187319488
EKN05_005075	EKN05_005075	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase			
EKN05_005080	EKN05_005080	glycoside hydrolase family 25 protein	-1.4359386145279807	-0.7503842708790469	0.8887194168768744
EKN05_005085	EKN05_005085	GntR family transcriptional regulator	-0.20555477082625245	1.4783287825368432	1.4080284577133189
EKN05_005090	EKN05_005090	sugar kinase			
EKN05_005100	EKN05_005100	MFS transporter			
EKN05_005105	EKN05_005105	class I fructose-bisphosphate aldolase			
EKN05_005115	EKN05_005115	tagatose-bisphosphate aldolase subunit GatZ	-2.161816194643718	-1.5169411889896685	-1.1689186183873348
EKN05_005120	EKN05_005120	PTS galactitol transporter subunit IIA			
EKN05_005125	EKN05_005125	PTS galactitol transporter subunit IIB			
EKN05_005130	EKN05_005130	PTS galactitol transporter subunit IIC	-0.6579076133882107	0.2639112591008962	0.17266344197302544
EKN05_005135	EKN05_005135	galactitol-1-phosphate 5-dehydrogenase	0.5164331686084493	-1.3521057782754224	-1.7336040980699532
EKN05_005140	EKN05_005140	DeoR/GlpR transcriptional regulator			
EKN05_005145	EKN05_005145	lipid kinase YegS			
EKN05_005155	EKN05_005155	hypothetical protein			
EKN05_005160	EKN05_005160	U32 family peptidase	0.17677892855782695	0.4483067953552754	0.6981642781140809
EKN05_005165	EKN05_005165	DUF1508 domain-containing protein			
EKN05_005170	EKN05_005170	two-component system response regulator BaeR	-0.906238627489011	-0.1863907715221481	0.6995110286265067
EKN05_005175	EKN05_005175	two-component system sensor histidine kinase BaeS			
EKN05_005180	EKN05_005180	MFS transporter			
EKN05_005185	EKN05_005185	multidrug efflux RND transporter permease subunit MdtC	0.853148788910816	-0.8404207775107608	-0.4991607737780678
EKN05_005190	EKN05_005190	multidrug efflux RND transporter permease subunit MdtB	0.6755511949263815	-0.8170387337801344	1.3551767437856226
EKN05_005215	EKN05_005215	molecular chaperone	1.3659997554737975	0.2984007457594523	-1.0818775473137723
EKN05_005225	EKN05_005225	helix-hairpin-helix domain-containing protein	-0.6981013562544032	0.2717664985238871	-0.012954223534293763
EKN05_005265	EKN05_005265	TerC family protein			
EKN05_005270	EKN05_005270	polysaccharide export protein	0.0798127163114919	-2.5791811453482163	-1.0323313201827942
EKN05_005280	EKN05_005280	tyrosine-protein kinase Wzc	0.3073481985907729	0.24573302415539	-0.8710312227490191
EKN05_005285	EKN05_005285	colanic acid biosynthesis glycosyltransferase WcaA	0.6827626790031662	0.6842566268375464	1.3319443640488242
EKN05_005290	EKN05_005290	colanic acid biosynthesis acetyltransferase WcaB			
EKN05_005295	EKN05_005295	colanic acid biosynthesis glycosyltransferase WcaC			
EKN05_005300	EKN05_005300	putative colanic acid polymerase WcaD			
EKN05_005305	EKN05_005305	colanic acid biosynthesis glycosyltransferase WcaE			
EKN05_005315	EKN05_005315	colanic acid biosynthesis glycosyl transferase	0.7108156329395139	0.7801210459314009	0.15398106543735163
EKN05_005320	EKN05_005320	colanic acid biosynthesis acetyltransferase WcaF			
EKN05_005325	EKN05_005325	GDP-mannose 4,6-dehydratase			
EKN05_005330	EKN05_005330	GDP-L-fucose synthase			
EKN05_005340	EKN05_005340	colanic acid biosynthesis glycosyltransferase WcaI			
EKN05_005345	EKN05_005345	mannose-1-phosphate guanyltransferase			
EKN05_005350	EKN05_005350	phosphomannomutase CpsG	0.3047633934594338	-0.5064387931687916	0.4493424555237706
EKN05_005355	EKN05_005355	undecaprenyl-phosphate glucose phosphotransferase	0.5263007188387392	-1.1895064804595328	-0.3599162316499241
EKN05_005360	EKN05_005360	M-antigen undecaprenyl disphosphate flippase	0.8458976031676566	1.074356723155408	0.3269583612555629
EKN05_005365	EKN05_005365	colanic acid biosynthesis pyruvyl transferase WcaK			
EKN05_005370	EKN05_005370	colanic acid biosynthesis glycosyltransferase WcaL			
EKN05_005375	EKN05_005375	colanic acid biosynthesis protein WcaM	-4.712522085440549	-0.0046934118334259756	-3.432645347036135
EKN05_005380	EKN05_005380	UTP--glucose-1-phosphate uridylyltransferase GalF			
EKN05_005385	EKN05_005385	dTDP-glucose 4,6-dehydratase	0.6410785259008931	-0.3700276685908283	-0.7668934563422176
EKN05_005445	EKN05_005445	hypothetical protein			
EKN05_005450	EKN05_005450	NADP-dependent phosphogluconate dehydrogenase			
EKN05_005455	EKN05_005455	UDP-glucose 6-dehydrogenase			
EKN05_005460	EKN05_005460	LPS O-antigen chain length determinant protein WzzB			
EKN05_005475	EKN05_005475	1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase			
EKN05_005480	EKN05_005480	imidazole glycerol phosphate synthase subunit HisH			
EKN05_005485	EKN05_005485	bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB			
EKN05_005490	EKN05_005490	histidinol-phosphate transaminase	-1.9463058338039285	-0.30936827055910143	-0.8171865066461904
EKN05_005500	EKN05_005500	ATP phosphoribosyltransferase			
EKN05_005530	EKN05_005530	SDR family oxidoreductase	-0.003741184254733576	-0.22423971277353338	-0.5248093095091246
EKN05_005535	EKN05_005535	LysR family transcriptional regulator			
EKN05_005545	EKN05_005545	putrescine/proton symporter PlaP	-0.6355475716966442	0.5576664829569841	1.0994903303814991
EKN05_005550	EKN05_005550	YeeE/YedE family protein	-3.673778961491578	-0.47214675778693493	-0.7042933587035712
EKN05_005555	EKN05_005555	hypothetical protein			
