locusId	sysName	type	scaffoldId	begin	end	strand	name	desc	GC	nTA	used
EKN05_000005	EKN05_000005	1	CP037923	12	164	+		pilin protein	0.3856	15	False
EKN05_000010	EKN05_000010	7	CP037923	377	1010	+		pilus assembly protein CblD	0.4984	32	False
EKN05_000015	EKN05_000015	7	CP037923	1098	1744	-		MFS transporter	0.5533	24	False
EKN05_000020	EKN05_000020	7	CP037923	1766	2393	-		MFS transporter	0.5334	33	False
EKN05_000025	EKN05_000025	1	CP037923	2877	4289	+		glucuronate isomerase	0.54	46	False
EKN05_000030	EKN05_000030	1	CP037923	4304	5791	+		altronate dehydratase	0.543	51	False
EKN05_000035	EKN05_000035	1	CP037923	5874	6425	+		YgjV family protein	0.5	27	False
EKN05_000040	EKN05_000040	1	CP037923	6430	7674	-		serine/threonine transporter SstT	0.5486	50	False
EKN05_000045	EKN05_000045	1	CP037923	8270	9235	-		TerC family membrane protein Alx	0.5414	33	False
EKN05_000050	EKN05_000050	1	CP037923	9506	10504	-		Gfo/Idh/MocA family oxidoreductase	0.5275	35	False
EKN05_000055	EKN05_000055	1	CP037923	10583	11275	-		vancomycin high temperature exclusion protein	0.5209	35	False
EKN05_000060	EKN05_000060	7	CP037923	11352	11855	-		M48 family peptidase	0.5119	23	False
EKN05_000065	EKN05_000065	1	CP037923	11940	13076	+		23S rRNA (guanine(1835)-N(2))-methyltransferase RlmG	0.5365	37	False
EKN05_000070	EKN05_000070	1	CP037923	13361	13675	+		mRNA interferase HigB	0.3841	21	False
EKN05_000075	EKN05_000075	1	CP037923	13672	14088	+		type II toxin-antitoxin system antitoxin HigA	0.4844	18	False
EKN05_000080	EKN05_000080	1	CP037923	14133	16151	-		NADPH-dependent 2,4-dienoyl-CoA reductase	0.575	64	False
EKN05_000085	EKN05_000085	7	CP037923	16377	18728	-		alpha-glucosidase	0.5434	101	False
EKN05_000090	EKN05_000090	7	CP037923	18745	19816	-		protein YgjJ	0.5159	57	False
EKN05_000095	EKN05_000095	1	CP037923	19951	21384	-		amino acid permease	0.4986	77	False
EKN05_000100	EKN05_000100	1	CP037923	21447	21896	-		beta-galactosidase subunit beta	0.4489	26	False
EKN05_000105	EKN05_000105	1	CP037923	21893	24979	-		beta-galactosidase subunit alpha	0.5445	110	False
EKN05_000110	EKN05_000110	1	CP037923	25162	26145	-		transcriptional regulator EbgR	0.5132	47	False
EKN05_000115	EKN05_000115	7	CP037923	26365	26696	+		tRNA-binding protein	0.5211	10	False
EKN05_000120	EKN05_000120	1	CP037923	26738	28228	-		putrescine aminotransferase	0.5466	54	False
EKN05_000125	EKN05_000125	7	CP037923	28535	30055	+		PAS domain S-box protein	0.549	56	False
EKN05_000130	EKN05_000130	1	CP037923	30209	30832	-		PadR family transcriptional regulator	0.5353	17	False
