locusId	sysName	desc	set1IT002	set1IT003	set1IT004
EKN05_000480	EKN05_000480	hydrogenase-2 assembly chaperone	0.15887445246367699	0.16173729636290962	0.22672279733302986
EKN05_000495	EKN05_000495	glutathione-dependent disulfide-bond oxidoreductase	0.07335105105079501	0.07184016287714318	0.08779086828243336
EKN05_005075	EKN05_005075	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	0.15064428866401502	0.17889178165480613	0.20417711434520908
EKN05_005080	EKN05_005080	glycoside hydrolase family 25 protein	0.09549898470476881	0.09785024947962248	0.09021730092119791
EKN05_005085	EKN05_005085	GntR family transcriptional regulator	0.0939881804109387	0.09489915123570171	0.11471391883509467
EKN05_005090	EKN05_005090	sugar kinase	0.10009679412713572	0.10564709087391488	0.11448202103976833
EKN05_005100	EKN05_005100	MFS transporter	0.280303757692298	0.2843193328778509	0.34221932527992177
EKN05_005105	EKN05_005105	class I fructose-bisphosphate aldolase	0.12596965311035344	0.15699614824746527	0.4884324612143364
EKN05_005115	EKN05_005115	tagatose-bisphosphate aldolase subunit GatZ	0.09726150696333605	0.09574933314277757	0.0998859575668204
EKN05_005120	EKN05_005120	PTS galactitol transporter subunit IIA	0.289787513150808	0.7422604749137136	0.3126488481329784
EKN05_005125	EKN05_005125	PTS galactitol transporter subunit IIB	0.1329442414285385	0.14340743273043355	0.1755725269979313
EKN05_005130	EKN05_005130	PTS galactitol transporter subunit IIC	0.24267560221862886	0.1926907432686158	0.22198806185541822
EKN05_005135	EKN05_005135	galactitol-1-phosphate 5-dehydrogenase	0.04821602951430543	0.05106134969881524	0.059313867304061005
EKN05_005140	EKN05_005140	DeoR/GlpR transcriptional regulator	0.10233524727558918	0.11256991882182138	0.10774512459818467
EKN05_005145	EKN05_005145	lipid kinase YegS	0.05520237681688114	0.045327954985805406	0.04236072892363112
EKN05_005155	EKN05_005155	hypothetical protein	0.10859630468880169	0.10506946328427617	0.11853982857242412
EKN05_005160	EKN05_005160	U32 family peptidase	0.06350826882936246	0.06428676189342199	0.07406263904307755
EKN05_005165	EKN05_005165	DUF1508 domain-containing protein	0.25683725058848006	0.26279773316983407	0.4175763495664298
EKN05_005170	EKN05_005170	two-component system response regulator BaeR	0.054833870287320466	0.05575948171104735	0.05479970725844837
EKN05_005175	EKN05_005175	two-component system sensor histidine kinase BaeS	0.1424735209338678	0.15690160377756013	0.21053204150571256
EKN05_005180	EKN05_005180	MFS transporter	0.3102894491610284	0.42271347881723903	0.3090701029734463
EKN05_005185	EKN05_005185	multidrug efflux RND transporter permease subunit MdtC	0.0979332600696152	0.10807262030021517	0.12355574728367852
EKN05_005190	EKN05_005190	multidrug efflux RND transporter permease subunit MdtB	0.05390654955032102	0.05559121090049076	0.059401645180433345
EKN05_005215	EKN05_005215	molecular chaperone	0.07830430897165222	0.08699579556317334	0.09622596012303553
EKN05_005225	EKN05_005225	helix-hairpin-helix domain-containing protein	0.06432713221525818	0.0664977900148699	0.07569347723465356
EKN05_005265	EKN05_005265	TerC family protein	0.11854965717728462	0.12118430703006657	0.11594449778529797
EKN05_005270	EKN05_005270	polysaccharide export protein	0.22725094005146487	0.21102777790844462	0.3549332278313211
EKN05_005280	EKN05_005280	tyrosine-protein kinase Wzc	0.0707093229301857	0.07844046469439202	0.09481475551781522
EKN05_005285	EKN05_005285	colanic acid biosynthesis glycosyltransferase WcaA	0.15704087012509862	0.16648841021488583	0.15887757018598983
EKN05_005290	EKN05_005290	colanic acid biosynthesis acetyltransferase WcaB	0.34273889542669844	0.3030265699624186	0.27767795657481154
EKN05_005295	EKN05_005295	colanic acid biosynthesis glycosyltransferase WcaC	0.12682538494016177	0.15123778552431297	0.42842869651939003
EKN05_005300	EKN05_005300	putative colanic acid polymerase WcaD	0.1921255889598536	0.16573411210528022	0.18889536028266418
EKN05_005305	EKN05_005305	colanic acid biosynthesis glycosyltransferase WcaE	0.2517527647481509	0.2759486286368292	0.270013555770604
EKN05_005315	EKN05_005315	colanic acid biosynthesis glycosyl transferase	0.06460935427184407	0.06620412587195666	0.07526146274218429
EKN05_005320	EKN05_005320	colanic acid biosynthesis acetyltransferase WcaF	0.15515711436149665	0.1736210377713479	0.22123615197669677
EKN05_005325	EKN05_005325	GDP-mannose 4,6-dehydratase	0.13909347700891067	0.13413793280115835	0.18298034303428592
EKN05_005330	EKN05_005330	GDP-L-fucose synthase	0.742568147662642	0.197057125828164	0.1982220056839308
EKN05_005340	EKN05_005340	colanic acid biosynthesis glycosyltransferase WcaI	0.2108241813555851	0.19061043122810384	0.18879632702935198
EKN05_005345	EKN05_005345	mannose-1-phosphate guanyltransferase	0.12871540381217264	0.12456565937864375	0.1276721662665801
EKN05_005350	EKN05_005350	phosphomannomutase CpsG	0.09736738428695411	0.10672168650734896	0.10756758897560047
EKN05_005355	EKN05_005355	undecaprenyl-phosphate glucose phosphotransferase	0.14276149414641354	0.12827123501108745	0.13960382149766082
EKN05_005360	EKN05_005360	M-antigen undecaprenyl disphosphate flippase	0.040972148734711424	0.04153056790812582	0.047069226049145964
EKN05_005365	EKN05_005365	colanic acid biosynthesis pyruvyl transferase WcaK	0.21177266208451995	0.3895491311008403	0.18958802626821492
EKN05_005370	EKN05_005370	colanic acid biosynthesis glycosyltransferase WcaL	0.08803548885931965	0.0953278220939659	0.08612656136718597
EKN05_005375	EKN05_005375	colanic acid biosynthesis protein WcaM	0.22294280798858712	0.22415156433161632	0.28526034506293946
EKN05_005380	EKN05_005380	UTP--glucose-1-phosphate uridylyltransferase GalF	0.17389525518108687	0.20094513770249733	0.25827226706773415
EKN05_005385	EKN05_005385	dTDP-glucose 4,6-dehydratase	0.1814590386758322	0.2060246043664656	0.3907801647900597
EKN05_005445	EKN05_005445	hypothetical protein	0.06120795769514367	0.06377223132933589	0.07253764586613935
EKN05_005450	EKN05_005450	NADP-dependent phosphogluconate dehydrogenase	0.12247265874401289	0.11512502761854979	0.09639615399690132
EKN05_005455	EKN05_005455	UDP-glucose 6-dehydrogenase	0.21864092703072516	0.1906646911124065	0.18309444889127593
EKN05_005460	EKN05_005460	LPS O-antigen chain length determinant protein WzzB	0.1399603029014115	0.152000740600974	0.17567637972503675
EKN05_005475	EKN05_005475	1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase	0.058020123753128636	0.05736896262878934	0.07811815179563712
EKN05_005480	EKN05_005480	imidazole glycerol phosphate synthase subunit HisH	0.3343152151631993	0.2470491736023509	0.740846913404378
EKN05_005485	EKN05_005485	bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB	0.0906298100973489	0.0864969604856284	0.174746405756545
EKN05_005490	EKN05_005490	histidinol-phosphate transaminase	0.11999753349420514	0.11154109055773258	0.1334010068006657
EKN05_005500	EKN05_005500	ATP phosphoribosyltransferase	0.22911133456582716	0.19453295962874811	0.16250684592212042
EKN05_005530	EKN05_005530	SDR family oxidoreductase	0.046077372514835464	0.0475239851114727	0.056578493892000384
EKN05_005535	EKN05_005535	LysR family transcriptional regulator	0.13119442422565217	0.12124271355101553	0.12124271355101553
EKN05_005545	EKN05_005545	putrescine/proton symporter PlaP	0.046311632368563074	0.044798618698168584	0.049582634128077833
EKN05_005550	EKN05_005550	YeeE/YedE family protein	0.09328941560775546	0.08039195755203243	0.07468951076636617
